Datum a čas,hodina,Činná spotřeba hodinová (kWh),Jalová spotřeba při spotřebě hodinová (kVAR),Jalová dodávka při spotřebě hodinová (kVAR)
1.1.2022 00:00,#VALUE!,22,15.25,0
1.1.2022 01:00,#VALUE!,21,14.75,0
1.1.2022 02:00,#VALUE!,23,15.25,0
1.1.2022 03:00,#VALUE!,21,13.75,0
1.1.2022 04:00,#VALUE!,21,13.75,0
1.1.2022 05:00,#VALUE!,23,15.5,0
1.1.2022 06:00,#VALUE!,22,14.25,0
1.1.2022 07:00,#VALUE!,21,14.5,0
1.1.2022 08:00,#VALUE!,24,17.5,0
1.1.2022 09:00,#VALUE!,21,14.5,0
1.1.2022 10:00,#VALUE!,21,13.25,0
1.1.2022 11:00,#VALUE!,24,15.5,0
1.1.2022 12:00,#VALUE!,21,13.25,0
1.1.2022 13:00,#VALUE!,21,13,0
1.1.2022 14:00,#VALUE!,23,16.25,0
1.1.2022 15:00,#VALUE!,20,13.25,0
1.1.2022 16:00,#VALUE!,23,13.5,0
1.1.2022 17:00,#VALUE!,21,11.75,0
1.1.2022 18:00,#VALUE!,21,11,0
1.1.2022 19:00,#VALUE!,22,12.5,0
1.1.2022 20:00,#VALUE!,21,11,0
1.1.2022 21:00,#VALUE!,20,12,0
1.1.2022 22:00,#VALUE!,23,13.75,0
1.1.2022 23:00,#VALUE!,21,14.75,0
2.1.2022 00:00,#VALUE!,21,13.25,0
2.1.2022 01:00,#VALUE!,22,14.25,0
2.1.2022 02:00,#VALUE!,21,13.75,0
2.1.2022 03:00,#VALUE!,22,13.5,0
2.1.2022 04:00,#VALUE!,22,14.5,0
2.1.2022 05:00,#VALUE!,21,12.25,0
2.1.2022 06:00,#VALUE!,21,11.75,0
2.1.2022 07:00,#VALUE!,22,13,0
2.1.2022 08:00,#VALUE!,22,11.5,0
2.1.2022 09:00,#VALUE!,20,11,0
2.1.2022 10:00,#VALUE!,21,10.25,0
2.1.2022 11:00,#VALUE!,25,18.25,0
2.1.2022 12:00,#VALUE!,24,17.75,0
2.1.2022 13:00,#VALUE!,24,19.25,0
2.1.2022 14:00,#VALUE!,22,18.5,0
2.1.2022 15:00,#VALUE!,21,17.5,0
2.1.2022 16:00,#VALUE!,22,17.25,0
2.1.2022 17:00,#VALUE!,21,16.25,0
2.1.2022 18:00,#VALUE!,22,16,0
2.1.2022 19:00,#VALUE!,22,17,0
2.1.2022 20:00,#VALUE!,22,17,0
2.1.2022 21:00,#VALUE!,21,17,0
2.1.2022 22:00,#VALUE!,21,11.5,0
2.1.2022 23:00,#VALUE!,22,13.75,0
3.1.2022 00:00,#VALUE!,21,12.75,0
3.1.2022 01:00,#VALUE!,22,12.5,0
3.1.2022 02:00,#VALUE!,22,13.75,0
3.1.2022 03:00,#VALUE!,21,12.75,0
3.1.2022 04:00,#VALUE!,22,11.25,0
3.1.2022 05:00,#VALUE!,59,16.5,0
3.1.2022 06:00,#VALUE!,143,27.5,0
3.1.2022 07:00,#VALUE!,158,34.75,0
3.1.2022 08:00,#VALUE!,185,37.25,0
3.1.2022 09:00,#VALUE!,234,41,0
3.1.2022 10:00,#VALUE!,217,43,0
3.1.2022 11:00,#VALUE!,234,49.5,0
3.1.2022 12:00,#VALUE!,194,41,0
